Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12
ENSG00000000003	8.5696593135022	8.5807295802056	8.72640175616471	8.84676652092894	8.78080503254501	8.8617019450052	9.02907474244575	8.87620773751094	8.86480407070296	9.50045384558869	9.33082976665226	9.6490822121691
ENSG00000000419	9.63529048291231	9.65317774986243	9.88842281521696	9.75997977959109	9.81942010415325	9.76532247328226	9.9059294069578	9.83131145712659	9.65428980825403	9.62140086483384	9.38283138648319	9.62650863437416
ENSG00000000457	6.46882460989911	6.44429923473982	6.77663647923509	6.91003260106489	6.49022658316043	6.70761975849791	6.68552994855888	7.02498924023695	6.58503716246837	6.68698396183181	6.87516620347622	6.8824536548972
ENSG00000000460	8.86531767099922	8.97605410803497	8.92532419633908	8.70994656760808	8.77780663674224	8.91771941255872	8.79100292081053	8.82834508907997	8.69745549821544	6.99577271217947	7.33029039229534	7.36119668337459
ENSG00000001036	9.90557392157386	9.93694273512135	9.95531536303692	9.91891058005579	9.92341067211323	10.0421470524797	9.93938267320569	10.1066432505458	9.95171044405436	9.63215263123887	9.53003964465573	9.6412705497466
ENSG00000001084	9.26910515569796	9.14534762410072	9.20901040376418	9.37547070619934	9.35998088210318	9.51003163458969	9.13482012259873	9.11653726409846	9.12789493404947	8.58197176006998	8.59985960394542	8.55352000905539
ENSG00000001167	9.15602952961096	9.10252533893882	9.29238890547201	8.89858777847607	8.97131276565677	8.82701520162735	9.00696159966948	9.01569214514648	9.00096404718688	8.94761245272498	8.88006124882622	8.96706974760184
ENSG00000001460	7.57176219638231	7.4745828852845	7.46486560053995	7.34182214508405	7.42572651720521	7.75303975301779	7.30130219072783	7.59071540941224	7.28986816065548	7.12423417722501	7.26257446662204	6.85539248143441
ENSG00000001461	9.15041722171134	9.29411391747976	9.13564352060598	9.55609563878162	9.4736172285551	9.34011591803971	9.55363711478173	9.8366946225044	9.56925268558078	9.14825545068976	9.37399836022156	9.17349449895054
ENSG00000001497	10.3246198368416	10.3064832079567	10.3591828649172	10.2626012340713	10.3295653702131	10.3262451821499	10.154060331141	9.92273300374114	10.0187465788298	8.98165247692874	8.9387623487912	8.80862302953303
ENSG00000001617	8.06595765743213	7.86813420061693	7.76748337774262	7.8443035109916	7.77860003272248	7.82529081713666	7.60718585278184	7.99012062987128	7.87840751488973	7.71818980729433	7.56051173910296	7.43572903270235
